Timestamp,Hour,Day_of_Week,Is_Weekend,Route_No,Current_Stop,Weather,Buses_Available,Dwell_Time_Seconds,Passenger_Count,Crowding_Level
2023-03-26 16:38:00,16,Sunday,1,9X,Koti,Clear,7,17,18,Low
2023-04-02 14:52:00,14,Sunday,1,47L,Koti,Rainy,4,14,12,Low
2023-09-12 01:18:00,1,Tuesday,0,9X,Mehdipatnam,Clear,11,11,10,Low
2023-06-29 23:38:00,23,Thursday,0,47L,Koti,Overcast,10,21,26,Low
2023-03-18 13:48:00,13,Saturday,1,9X,Uppal,Clear,8,20,11,Low
2023-02-08 02:46:00,2,Wednesday,0,47L,SR Nagar,Rainy,9,12,11,Low
2023-04-06 08:57:00,8,Thursday,0,47L,Koti,Clear,8,37,31,Medium
2023-12-29 02:30:00,2,Friday,0,127K,Secunderabad Station,Clear,7,15,29,Low
2023-03-02 18:18:00,18,Thursday,0,9X,Uppal,Overcast,6,44,33,Medium
2023-05-02 16:03:00,16,Tuesday,0,9X,Jubilee Hills Checkpost,Clear,9,22,17,Low
2023-05-13 20:55:00,20,Saturday,1,9X,Ameerpet,Clear,6,30,39,Medium
2023-07-13 04:07:00,4,Thursday,0,218,Koti,Clear,11,24,13,Low
2023-01-29 12:50:00,12,Sunday,1,47L,Koti,Overcast,7,18,19,Low
2023-08-17 17:25:00,17,Thursday,0,9X,Hitech City,Clear,10,167,85,High
2023-02-15 00:20:00,0,Wednesday,0,10H,Charminar,Clear,8,8,16,Low
2023-08-12 12:39:00,12,Saturday,1,218,Madhapur,Rainy,6,11,14,Low
2023-08-16 03:09:00,3,Wednesday,0,127K,Hitech City,Clear,5,15,23,Low
2023-05-19 05:21:00,5,Friday,0,9X,Secunderabad Station,Rainy,8,24,25,Low
2023-03-13 18:35:00,18,Monday,0,9X,Uppal,Clear,3,58,34,Medium
2023-06-13 17:56:00,17,Tuesday,0,218,Uppal,Rainy,4,159,61,High
2023-05-29 17:36:00,17,Monday,0,47L,Banjara Hills,Clear,9,31,49,Medium
2023-05-09 07:39:00,7,Tuesday,0,10H,Gachibowli,Clear,6,5,15,Low
2023-08-30 06:49:00,6,Wednesday,0,127K,Madhapur,Clear,7,19,20,Low
2023-10-20 23:49:00,23,Friday,0,9X,Koti,Clear,3,24,17,Low
2023-06-29 17:15:00,17,Thursday,0,47L,LB Nagar,Clear,4,56,33,Medium
2023-12-04 15:52:00,15,Monday,0,10H,Charminar,Clear,6,12,20,Low
2023-12-14 08:26:00,8,Thursday,0,10H,Banjara Hills,Clear,10,53,42,Medium
2023-04-19 20:10:00,20,Wednesday,0,127K,SR Nagar,Clear,6,49,30,Medium
2023-09-25 03:21:00,3,Monday,0,5K,Hitech City,Clear,5,9,26,Low
